ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spending,Spending_to_Income,Spender_Type,Income_Group,Spender_Class,Customer_Type,Risk_Score,Risk_Level,Alert,spending_norm
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,308,0.00518920376048792,Normal Spender,Low Income,Saver,Low Income - Saver,4.113244263234154,Low Risk,Normal,0.125
2569,1987,Graduation,Married,17323.0,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,32,0.00184725509438319,Normal Spender,Low Income,Saver,Low Income - Saver,0.5189182462172129,Low Risk,Normal,0.012987012987012988
2114,1946,PhD,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1293,0.015615942028985507,Normal Spender,Low Income,Saver,Low Income - Saver,16.835810747223793,Low Risk,Normal,0.5247564935064936
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,91,0.002174432497013142,Normal Spender,Low Income,Saver,Low Income - Saver,1.2601648202454654,Low Risk,Normal,0.036931818181818184
4939,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,312,0.00826271186440678,Normal Spender,Low Income,Saver,Low Income - Saver,4.377091129209773,Low Risk,Normal,0.1266233766233766
6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1702,0.022105331515033445,Normal Spender,Low Income,Saver,Low Income - Saver,22.269775803454937,Low Risk,Normal,0.6907467532467533
2278,1985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,116,0.003430734650419969,Normal Spender,Low Income,Saver,Low Income - Saver,1.6524890878670602,Low Risk,Normal,0.04707792207792208
9360,1982,Graduation,Married,37040.0,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,314,0.00847732181425486,Normal Spender,Low Income,Saver,Low Income - Saver,4.4164644750497875,Low Risk,Normal,0.12743506493506493
5376,1979,Graduation,Married,2447.0,1,0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1729,0.7065794850837761,High Spender,Low Income,Overspender,Low Income - Overspender,70.51170031950068,High Risk,Send Warning,0.7017045454545454
1993,1949,PhD,Married,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,0.01658504956745781,Normal Spender,Low Income,Saver,Low Income - Saver,12.99536905413763,Low Risk,Normal,0.3944805194805195
4047,1954,PhD,Married,65324.0,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,0.008327720286571551,Normal Spender,Low Income,Saver,Low Income - Saver,7.2063170434366315,Low Risk,Normal,0.22077922077922077
1409,1951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,441,0.010838310108383101,Normal Spender,Low Income,Saver,Low Income - Saver,6.1279998894049985,Low Risk,Normal,0.17897727272727273
7892,1969,Graduation,Single,18589.0,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,71,0.0038194631233525204,Normal Spender,Low Income,Saver,Low Income - Saver,1.1318104705827283,Low Risk,Normal,0.028814935064935064
2404,1976,Graduation,Married,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,253,0.004741468168443936,Normal Spender,Low Income,Saver,Low Income - Saver,3.412259914648218,Low Risk,Normal,0.10267857142857142
9422,1989,Graduation,Married,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,129,0.0033628779979144943,Normal Spender,Low Income,Saver,Low Income - Saver,1.8060183429708978,Low Risk,Normal,0.052353896103896104
1966,1965,PhD,Married,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1572,0.018577607601219598,Normal Spender,Low Income,Saver,Low Income - Saver,20.44004292169576,Low Risk,Normal,0.637987012987013
6864,1989,Master,Divorced,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,26,0.00236815739138355,Normal Spender,Low Income,Saver,Low Income - Saver,0.48232945895529,Low Risk,Normal,0.010551948051948052
3033,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,301,0.0077938891765924395,Normal Spender,Low Income,Saver,Low Income - Saver,4.210344969634198,Low Risk,Normal,0.12215909090909091
5710,1970,Graduation,Together,40548.0,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,120,0.002959455460195324,Normal Spender,Low Income,Saver,Low Income - Saver,1.6682008432526336,Low Risk,Normal,0.048701298701298704
7373,1952,PhD,Divorced,46610.0,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,290,0.006221840806693842,Normal Spender,Low Income,Saver,Low Income - Saver,3.9663730123127254,Low Risk,Normal,0.1176948051948052
8755,1946,Master,Married,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1162,0.016924712702273623,Normal Spender,Low Income,Saver,Low Income - Saver,15.332457161886426,Low Risk,Normal,0.4715909090909091
10738,1951,Master,Single,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,65,0.0013160825284982485,Normal Spender,Low Income,Saver,Low Income - Saver,0.8835218808909812,Low Risk,Normal,0.026379870129870128
4339,1970,PhD,Married,67353.0,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,896,0.013303045150178909,Normal Spender,Low Income,Saver,Low Income - Saver,11.840304069603432,Low Risk,Normal,0.36363636363636365
10755,1976,2n Cycle,Married,23718.0,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,78,0.0032886415380723503,Normal Spender,Low Income,Saver,Low Income - Saver,1.179880232340389,Low Risk,Normal,0.03165584415584415
8595,1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,0.0015791086285323716,Normal Spender,Low Income,Saver,Low Income - Saver,0.9262843572440193,Low Risk,Normal,0.02719155844155844
2968,1943,PhD,Divorced,48948.0,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,894,0.01826428046089728,Normal Spender,Low Income,Saver,Low Income - Saver,12.16323989200307,Low Risk,Normal,0.3628246753246753
8601,1980,Graduation,Married,80011.0,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1319,0.016485233280423943,Normal Spender,Low Income,Saver,Low Income - Saver,17.213219576382922,Low Risk,Normal,0.5353084415584416
503,1985,Master,Married,20559.0,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,52,0.0025293059000924168,Normal Spender,Low Income,Saver,Low Income - Saver,0.8101682961233523,Low Risk,Normal,0.021103896103896104
8430,1957,Graduation,Together,21994.0,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,22,0.0010002728016731835,Normal Spender,Low Income,Saver,Low Income - Saver,0.33787623897426566,Low Risk,Normal,0.008928571428571428
2139,1975,Master,Married,7500.0,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,30,0.004,Normal Spender,Low Income,Saver,Low Income - Saver,0.6452597402597402,Low Risk,Normal,0.012175324675324676
1371,1976,Graduation,Single,79941.0,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,820,0.010257564954153689,Normal Spender,Low Income,Saver,Low Income - Saver,10.701795780556992,Low Risk,Normal,0.3327922077922078
9909,1996,2n Cycle,Married,7500.0,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,104,0.013866666666666666,Normal Spender,Low Income,Saver,Low Income - Saver,2.2369004329004327,Low Risk,Normal,0.04220779220779221
7286,1968,Graduation,Together,41728.0,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,49,0.001174271472392638,Normal Spender,Low Income,Saver,Low Income - Saver,0.6787899121583937,Low Risk,Normal,0.019886363636363636
6566,1954,PhD,Married,72550.0,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1269,0.017491385251550653,Normal Spender,Low Income,Saver,Low Income - Saver,16.674883980595556,Low Risk,Normal,0.5150162337662337
8614,1957,Graduation,Widow,65486.0,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,488,0.007451974467825184,Normal Spender,Low Income,Saver,Low Income - Saver,6.463196654306204,Low Risk,Normal,0.19805194805194806
4114,1964,Master,Married,79143.0,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,1656,0.020924149956408022,Normal Spender,Low Income,Saver,Low Income - Saver,21.627028159286223,Low Risk,Normal,0.672077922077922
1331,1977,Graduation,Single,35790.0,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,66,0.0018440905280804694,Normal Spender,Low Income,Saver,Low Income - Saver,0.9326577655370613,Low Risk,Normal,0.026785714285714284
2225,1977,Graduation,Divorced,82582.0,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1497,0.018127436971737184,Normal Spender,Low Income,Saver,Low Income - Saver,19.495381626982642,Low Risk,Normal,0.6075487012987013
9381,1978,Graduation,Married,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,597,0.008994621306856704,Normal Spender,Low Income,Saver,Low Income - Saver,7.898292322648799,Low Risk,Normal,0.24228896103896103
6260,1955,Master,Together,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1906,0.02313556030297145,Normal Spender,Low Income,Saver,Low Income - Saver,24.82565805237683,Low Risk,Normal,0.773538961038961
10383,1966,Graduation,Divorced,70287.0,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1058,0.015052570176561812,Normal Spender,Low Income,Saver,Low Income - Saver,13.93517341885283,Low Risk,Normal,0.42938311688311687
7437,1988,Graduation,Single,27938.0,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,29,0.0010380127425012528,Normal Spender,Low Income,Saver,Low Income - Saver,0.42574530755950324,Low Risk,Normal,0.01176948051948052
8375,1968,PhD,Married,55954.0,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,518,0.009257604460807091,Normal Spender,Low Income,Saver,Low Income - Saver,6.9548504940746785,Low Risk,Normal,0.21022727272727273
6853,1982,Master,Single,75777.0,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1412,0.01863362233923222,Normal Spender,Low Income,Saver,Low Income - Saver,18.495912005304696,Low Risk,Normal,0.573051948051948
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,594,0.008911826924519526,Normal Spender,Low Income,Saver,Low Income - Saver,7.855970741859224,Low Risk,Normal,0.24107142857142858
1012,1952,Graduation,Single,61823.0,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,877,0.014185659058926289,Normal Spender,Low Income,Saver,Low Income - Saver,11.67075587438458,Low Risk,Normal,0.3559253246753247
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,606,0.008953900709219859,Normal Spender,Low Income,Saver,Low Income - Saver,8.005019802892143,Low Risk,Normal,0.24594155844155843
4137,1948,Graduation,Together,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1036,0.014660515665242124,Normal Spender,Low Income,Saver,Low Income - Saver,13.639872460203312,Low Risk,Normal,0.42045454545454547
8082,1971,Graduation,Married,25721.0,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,31,0.0012052408537770692,Normal Spender,Low Income,Saver,Low Income - Saver,0.46180192469945974,Low Risk,Normal,0.012581168831168832
1386,1967,Graduation,Together,32474.0,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,0.00033873252448112336,Normal Spender,Low Income,Saver,Low Income - Saver,0.15763984814225004,Low Risk,Normal,0.004464285714285714
9369,1979,2n Cycle,Single,88194.0,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1260,0.014286686169127151,Normal Spender,Low Income,Saver,Low Income - Saver,16.34097712274799,Low Risk,Normal,0.5113636363636364
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,604,0.008741461155493806,Normal Spender,Low Income,Saver,Low Income - Saver,7.96579838478067,Low Risk,Normal,0.24512987012987014
1357,1970,Graduation,Together,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1503,0.020079087289924386,Normal Spender,Low Income,Saver,Low Income - Saver,19.705049097307693,Low Risk,Normal,0.6099837662337663
1402,1954,Master,Married,66991.0,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1217,0.01816661939663537,Normal Spender,Low Income,Saver,Low Income - Saver,16.08903348763461,Low Risk,Normal,0.49391233766233766
6312,1959,Graduation,Married,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,756,0.01162522489274346,Normal Spender,Low Income,Saver,Low Income - Saver,10.018311197037496,Low Risk,Normal,0.3068181818181818
8132,1975,PhD,Married,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,655,0.010803054543055532,Normal Spender,Low Income,Saver,Low Income - Saver,8.731051480351548,Low Risk,Normal,0.26582792207792205
1050,1952,Graduation,Married,28332.0,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,55,0.0019412678243682056,Normal Spender,Low Income,Saver,Low Income - Saver,0.8055316048486315,Low Risk,Normal,0.022321428571428572
5846,1977,Graduation,Divorced,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,12,0.00029816627739402674,Normal Spender,Low Income,Saver,Low Income - Saver,0.16697553552147798,Low Risk,Normal,0.00487012987012987
1859,1972,Master,Married,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1779,0.023640881848746197,Normal Spender,Low Income,Saver,Low Income - Saver,23.31476432681483,Low Risk,Normal,0.7219967532467533
7503,1976,Graduation,Single,75825.0,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2104,0.027748104187273328,Normal Spender,Low Income,Saver,Low Income - Saver,27.55925040999225,Low Risk,Normal,0.8538961038961039
10401,1976,2n Cycle,Together,26326.0,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,18,0.0006837347109321583,Normal Spender,Low Income,Saver,Low Income - Saver,0.2670172739210952,Low Risk,Normal,0.007305194805194805
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692,0.012347000678014489,Normal Spender,Low Income,Saver,Low Income - Saver,9.28961472278569,Low Risk,Normal,0.28084415584415584
3332,1985,Graduation,Single,29760.0,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,161,0.00540994623655914,Normal Spender,Low Income,Saver,Low Income - Saver,2.3389235092864125,Low Risk,Normal,0.06534090909090909
2261,1969,Graduation,Married,26304.0,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,15,0.0005702554744525547,Normal Spender,Low Income,Saver,Low Income - Saver,0.22254775334154897,Low Risk,Normal,0.006087662337662338
5346,1973,2n Cycle,Married,23559.0,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,74,0.003141050129462201,Normal Spender,Low Income,Saver,Low Income - Saver,1.12084753503638,Low Risk,Normal,0.030032467532467532
4119,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,301,0.0077938891765924395,Normal Spender,Low Income,Saver,Low Income - Saver,4.210344969634198,Low Risk,Normal,0.12215909090909091
535,1987,Graduation,Divorced,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,755,0.009279630289696538,Normal Spender,Low Income,Saver,Low Income - Saver,9.841944250148888,Low Risk,Normal,0.30641233766233766
5268,1960,Graduation,Married,29440.0,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,48,0.0016304347826086956,Normal Spender,Low Income,Saver,Low Income - Saver,0.698546019198193,Low Risk,Normal,0.01948051948051948
273,1970,Master,Married,36138.0,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,151,0.004178427140406221,Normal Spender,Low Income,Saver,Low Income - Saver,2.1309639258024613,Low Risk,Normal,0.061282467532467536
4452,1957,Graduation,Single,50388.0,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,366,0.007263634198618718,Normal Spender,Low Income,Saver,Low Income - Saver,4.964623225072142,Low Risk,Normal,0.14853896103896103
8504,1973,Graduation,Married,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1306,0.01640847813249909,Normal Spender,Low Income,Saver,Low Income - Saver,17.04956749524896,Low Risk,Normal,0.5300324675324676
771,1967,Graduation,Together,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,185,0.003414670161320093,Normal Spender,Low Income,Saver,Low Income - Saver,2.4914619762274715,Low Risk,Normal,0.07508116883116883
11178,1972,Master,Single,42394.0,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,30,0.000707647308581403,Normal Spender,Low Income,Saver,Low Income - Saver,0.4147950518604384,Low Risk,Normal,0.012175324675324676
2230,1970,PhD,Married,23626.0,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,41,0.001735376280369085,Normal Spender,Low Income,Saver,Low Income - Saver,0.6206646513141475,Low Risk,Normal,0.016639610389610388
7516,1983,Graduation,Married,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,0.0013955342902711324,Normal Spender,Low Income,Saver,Low Income - Saver,0.6090510366826155,Low Risk,Normal,0.017045454545454544
7247,1960,Graduation,Widow,47916.0,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,606,0.012647132481843225,Normal Spender,Low Income,Saver,Low Income - Saver,8.26354602697578,Low Risk,Normal,0.24594155844155843
11100,1972,Graduation,Divorced,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,61,0.0011773107135274932,Normal Spender,Low Income,Saver,Low Income - Saver,0.8251065551417297,Low Risk,Normal,0.024756493506493508
4646,1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,952,0.012127852019822414,Normal Spender,Low Income,Saver,Low Income - Saver,12.43985873229666,Low Risk,Normal,0.38636363636363635
3037,1983,PhD,Married,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,364,0.007258225324027917,Normal Spender,Low Income,Saver,Low Income - Saver,4.939893954500136,Low Risk,Normal,0.14772727272727273
1473,1960,2n Cycle,Single,47823.0,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,71,0.0014846412813917988,Normal Spender,Low Income,Saver,Low Income - Saver,0.9683729416454779,Low Risk,Normal,0.028814935064935064
1016,1959,PhD,Single,34554.0,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,54,0.0015627713144643167,Normal Spender,Low Income,Saver,Low Income - Saver,0.7668615244800346,Low Risk,Normal,0.021915584415584416
4518,1979,Graduation,Together,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,997,0.011634555914718821,Normal Spender,Low Income,Saver,Low Income - Saver,12.953217615329018,Low Risk,Normal,0.40462662337662336
9370,1945,PhD,Married,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,1039,0.015779242474865597,Normal Spender,Low Income,Saver,Low Income - Saver,13.75470931090293,Low Risk,Normal,0.42167207792207795
8908,1959,Graduation,Married,87195.0,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1021,0.011709387006135673,Normal Spender,Low Income,Saver,Low Income - Saver,13.25066358393599,Low Risk,Normal,0.41436688311688313
8373,1979,Basic,Together,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,26,0.0010571684150605838,Normal Spender,Low Income,Saver,Low Income - Saver,0.39056023061268236,Low Risk,Normal,0.010551948051948052
7533,1964,Graduation,Married,49096.0,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,186,0.003788496007821411,Normal Spender,Low Income,Saver,Low Income - Saver,2.5298051101578887,Low Risk,Normal,0.07548701298701299
2683,1969,Graduation,Married,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,804,0.01533970579817984,Normal Spender,Low Income,Saver,Low Income - Saver,10.862740444833626,Low Risk,Normal,0.3262987012987013
